latitude,longitude,classification
-18.5,-53.5,Northern Hemisphere
-62.5,167.5,Northern Hemisphere
-80.5,-163.5,Northern Hemisphere
40.5,129.5,Northern Hemisphere
77.5,100.5,Northern Hemisphere
60.0,-38.0,Southern Hemisphere
-48.5,178.5,Northern Hemisphere
-51.0,-70.0,Southern Hemisphere
7.0,-131.0,Southern Hemisphere
64.0,-45.0,Southern Hemisphere
48.5,-115.5,Northern Hemisphere
-15.0,141.0,Southern Hemisphere
90.0,-145.0,Southern Hemisphere
-14.5,-138.5,Northern Hemisphere
8.5,-36.5,Northern Hemisphere
3.0,-97.0,Southern Hemisphere
81.0,-44.0,Southern Hemisphere
-45.5,94.5,Northern Hemisphere
8.5,-40.5,Northern Hemisphere
-74.5,-61.5,Northern Hemisphere
13.5,-41.5,Northern Hemisphere
56.5,-17.5,Northern Hemisphere
12.5,150.5,Northern Hemisphere
-55.0,-54.0,Southern Hemisphere
19.0,118.0,Southern Hemisphere
-55.0,80.0,Southern Hemisphere
-78.0,-124.0,Southern Hemisphere
85.5,37.5,Northern Hemisphere
63.5,60.5,Northern Hemisphere
-88.0,168.0,Southern Hemisphere
48.5,-42.5,Northern Hemisphere
21.0,-100.0,Southern Hemisphere
-23.0,76.0,Southern Hemisphere
-61.5,141.5,Northern Hemisphere
39.0,131.0,Southern Hemisphere
-47.5,97.5,Northern Hemisphere
36.5,-169.5,Northern Hemisphere
-10.5,-56.5,Northern Hemisphere
56.5,-138.5,Northern Hemisphere
-71.5,93.5,Northern Hemisphere
32.5,102.5,Northern Hemisphere
66.5,37.5,Northern Hemisphere
87.5,-76.5,Northern Hemisphere
81.0,152.0,Southern Hemisphere
42.0,51.0,Southern Hemisphere
-72.5,-5.5,Northern Hemisphere
-30.5,122.5,Northern Hemisphere
72.5,-148.5,Northern Hemisphere
-80.5,-9.5,Northern Hemisphere
-17.5,163.5,Northern Hemisphere
-57.0,112.0,Southern Hemisphere
31.0,28.0,Southern Hemisphere
79.5,41.5,Northern Hemisphere
29.0,-153.0,Southern Hemisphere
-2.5,-123.5,Northern Hemisphere
48.5,50.5,Northern Hemisphere
-17.5,57.5,Northern Hemisphere
-69.5,47.5,Northern Hemisphere
49.5,-171.5,Northern Hemisphere
-28.5,-93.5,Northern Hemisphere
-36.0,25.0,Southern Hemisphere
-88.5,20.5,Northern Hemisphere
26.0,-34.0,Southern Hemisphere
52.0,158.0,Southern Hemisphere
-15.0,-69.0,Southern Hemisphere
49.5,-147.5,Northern Hemisphere
59.0,64.0,Southern Hemisphere
41.5,-137.5,Northern Hemisphere
-71.5,166.5,Northern Hemisphere
56.5,-52.5,Northern Hemisphere
18.5,157.5,Northern Hemisphere
-38.0,162.0,Southern Hemisphere
11.0,-113.0,Southern Hemisphere
-72.0,-176.0,Southern Hemisphere
54.0,-129.0,Southern Hemisphere
40.5,-43.5,Northern Hemisphere
-71.5,-53.5,Northern Hemisphere
22.0,98.0,Southern Hemisphere
77.0,90.0,Southern Hemisphere
52.5,-25.5,Northern Hemisphere
-54.5,-43.5,Northern Hemisphere
52.5,-99.5,Northern Hemisphere
-37.0,-5.0,Southern Hemisphere
-21.5,79.5,Northern Hemisphere
-77.0,-133.0,Southern Hemisphere
-79.0,-179.0,Southern Hemisphere
73.0,-46.0,Southern Hemisphere
52.5,39.5,Northern Hemisphere
87.5,-102.5,Northern Hemisphere
60.5,103.5,Northern Hemisphere
-78.5,-21.5,Northern Hemisphere
-80.0,3.0,Southern Hemisphere
81.5,-126.5,Northern Hemisphere
14.0,137.0,Southern Hemisphere
-28.5,-95.5,Northern Hemisphere
-82.5,-87.5,Northern Hemisphere
15.0,162.0,Southern Hemisphere
-61.5,16.5,Northern Hemisphere
-32.5,-76.5,Northern Hemisphere
-32.0,-66.0,Southern Hemisphere
13.5,-10.5,Northern Hemisphere
-19.0,-1.0,Southern Hemisphere
47.0,-11.0,Southern Hemisphere
-22.5,-87.5,Northern Hemisphere
62.0,42.0,Southern Hemisphere
-10.0,43.0,Southern Hemisphere
58.5,-81.5,Northern Hemisphere
21.0,-180.0,Southern Hemisphere
-71.5,161.5,Northern Hemisphere
79.0,-117.0,Southern Hemisphere
80.0,29.0,Southern Hemisphere
-15.0,103.0,Southern Hemisphere
81.5,15.5,Northern Hemisphere
-11.5,28.5,Northern Hemisphere
-35.5,41.5,Northern Hemisphere
23.0,165.0,Southern Hemisphere
-45.5,158.5,Northern Hemisphere
80.5,145.5,Northern Hemisphere
-30.0,164.0,Southern Hemisphere
-40.0,-105.0,Southern Hemisphere
32.5,133.5,Northern Hemisphere
72.5,115.5,Northern Hemisphere
9.5,74.5,Northern Hemisphere
77.0,172.0,Southern Hemisphere
-61.5,38.5,Northern Hemisphere
89.5,86.5,Northern Hemisphere
-27.0,-118.0,Southern Hemisphere
28.0,161.0,Southern Hemisphere
23.0,133.0,Southern Hemisphere
50.0,48.0,Southern Hemisphere
32.5,51.5,Northern Hemisphere
73.0,-39.0,Southern Hemisphere
-20.0,45.0,Southern Hemisphere
-28.5,-39.5,Northern Hemisphere
48.0,-139.0,Southern Hemisphere
9.5,176.5,Northern Hemisphere
-72.5,33.5,Northern Hemisphere
29.0,32.0,Southern Hemisphere
18.5,20.5,Northern Hemisphere
58.5,15.5,Northern Hemisphere
0.0,-28.0,Southern Hemisphere
17.0,95.0,Southern Hemisphere
-19.5,44.5,Northern Hemisphere
-4.0,162.0,Southern Hemisphere
