latitude,longitude,classification
-2,-130.4947,Southern Hemisphere
-1,-161.5509,Southern Hemisphere
-2,-174.2791,Southern Hemisphere
-2,-89.036,Southern Hemisphere
-2,-51.1165,Southern Hemisphere
2,106.0678,Northern Hemisphere
-2,-151.2613,Southern Hemisphere
2,27.9863,Northern Hemisphere
1,68.3869,Northern Hemisphere
1,108.6707,Northern Hemisphere
-2,-83.4789,Southern Hemisphere
2,52.7721,Northern Hemisphere
1,126.8229,Northern Hemisphere
-2,-40.8477,Southern Hemisphere
-2,-24.0329,Southern Hemisphere
2,114.4232,Northern Hemisphere
1,63.9487,Northern Hemisphere
1,123.0386,Northern Hemisphere
-2,-149.195,Southern Hemisphere
-1,-111.698,Southern Hemisphere
-1,-28.2867,Southern Hemisphere
-2,-174.222,Southern Hemisphere
1,11.9139,Northern Hemisphere
1,89.8616,Northern Hemisphere
2,25.1335,Northern Hemisphere
1,77.1181,Northern Hemisphere
2,179.5186,Northern Hemisphere
-1,-163.6363,Southern Hemisphere
-2,-152.4886,Southern Hemisphere
-1,-104.0112,Southern Hemisphere
-2,-72.7401,Southern Hemisphere
2,174.7941,Northern Hemisphere
-2,-159.3807,Southern Hemisphere
1,61.2316,Northern Hemisphere
1,81.6703,Northern Hemisphere
1,137.1532,Northern Hemisphere
-2,-126.2799,Southern Hemisphere
-1,-42.7481,Southern Hemisphere
-2,-92.051,Southern Hemisphere
-2,-21.8301,Southern Hemisphere
1,43.3569,Northern Hemisphere
-2,-92.5217,Southern Hemisphere
-2,-84.1129,Southern Hemisphere
-1,-94.4492,Southern Hemisphere
-1,-22.9621,Southern Hemisphere
2,167.2044,Northern Hemisphere
-1,-108.1814,Southern Hemisphere
1,93.1637,Northern Hemisphere
-2,-168.4753,Southern Hemisphere
-2,-138.5793,Southern Hemisphere
-1,-52.5886,Southern Hemisphere
-2,-17.0244,Southern Hemisphere
1,42.8408,Northern Hemisphere
2,23.8161,Northern Hemisphere
2,85.1351,Northern Hemisphere
2,17.4475,Northern Hemisphere
2,73.9984,Northern Hemisphere
-2,-2.8503,Southern Hemisphere
-2,-48.9216,Southern Hemisphere
-2,-145.7624,Southern Hemisphere
2,33.0278,Northern Hemisphere
2,166.1878,Northern Hemisphere
2,154.074,Northern Hemisphere
-2,-0.1292,Southern Hemisphere
-2,-13.2539,Southern Hemisphere
-1,-92.5846,Southern Hemisphere
-1,-17.5603,Southern Hemisphere
-1,-2.6444,Southern Hemisphere
1,141.3233,Northern Hemisphere
1,172.3172,Northern Hemisphere
2,53.4074,Northern Hemisphere
-2,-82.4049,Southern Hemisphere
1,105.152,Northern Hemisphere
-1,-88.5909,Southern Hemisphere
-1,-167.767,Southern Hemisphere
-1,-10.5127,Southern Hemisphere
-1,-172.8465,Southern Hemisphere
-2,-74.939,Southern Hemisphere
1,36.7667,Northern Hemisphere
1,71.2415,Northern Hemisphere
1,167.2233,Northern Hemisphere
-2,-68.1913,Southern Hemisphere
-2,-141.6322,Southern Hemisphere
1,62.8216,Northern Hemisphere
-2,-113.4851,Southern Hemisphere
-1,-82.2208,Southern Hemisphere
1,177.702,Northern Hemisphere
-2,-80.1716,Southern Hemisphere
-2,-155.8276,Southern Hemisphere
-2,-46.365,Southern Hemisphere
-1,-71.1306,Southern Hemisphere
1,114.1628,Northern Hemisphere
1,45.2018,Northern Hemisphere
-2,-103.7564,Southern Hemisphere
1,60.0402,Northern Hemisphere
-1,-132.8481,Southern Hemisphere
2,76.9836,Northern Hemisphere
-2,-9.8908,Southern Hemisphere
-1,-29.7729,Southern Hemisphere
-1,-172.4708,Southern Hemisphere
1,143.302,Northern Hemisphere
-2,-142.1862,Southern Hemisphere
-1,-116.3378,Southern Hemisphere
2,134.906,Northern Hemisphere
-1,-4.2829,Southern Hemisphere
-1,-175.5385,Southern Hemisphere
1,74.1084,Northern Hemisphere
-1,-38.2726,Southern Hemisphere
-2,-173.0296,Southern Hemisphere
2,146.9856,Northern Hemisphere
2,147.6965,Northern Hemisphere
-1,-61.194,Southern Hemisphere
2,155.5835,Northern Hemisphere
1,91.693,Northern Hemisphere
1,20.7615,Northern Hemisphere
1,173.2562,Northern Hemisphere
1,107.3828,Northern Hemisphere
1,56.4619,Northern Hemisphere
-2,-76.2142,Southern Hemisphere
1,78.4904,Northern Hemisphere
-1,-167.4047,Southern Hemisphere
1,119.4097,Northern Hemisphere
-2,-125.942,Southern Hemisphere
1,58.7129,Northern Hemisphere
1,34.5312,Northern Hemisphere
2,162.505,Northern Hemisphere
1,150.0705,Northern Hemisphere
1,77.3799,Northern Hemisphere
1,79.5888,Northern Hemisphere
-1,-37.1276,Southern Hemisphere
-1,-128.9184,Southern Hemisphere
1,171.3599,Northern Hemisphere
-1,-139.5647,Southern Hemisphere
-1,-171.6815,Southern Hemisphere
2,138.3281,Northern Hemisphere
2,113.3578,Northern Hemisphere
-1,-110.8839,Southern Hemisphere
2,118.0904,Northern Hemisphere
-2,-25.1207,Southern Hemisphere
-2,-140.6086,Southern Hemisphere
2,44.8557,Northern Hemisphere
-2,-35.745,Southern Hemisphere
1,160.4567,Northern Hemisphere
2,98.617,Northern Hemisphere
-1,-94.5586,Southern Hemisphere
1,151.1753,Northern Hemisphere
1,93.834,Northern Hemisphere
-1,-166.053,Southern Hemisphere
1,60.4526,Northern Hemisphere
-2,-138.3729,Southern Hemisphere
-1,-168.4388,Southern Hemisphere
2,83.8664,Northern Hemisphere
-2,-104.3742,Southern Hemisphere
-2,-42.193,Southern Hemisphere
2,169.6935,Northern Hemisphere
1,153.6206,Northern Hemisphere
2,132.2341,Northern Hemisphere
-1,-130.8716,Southern Hemisphere
2,60.5033,Northern Hemisphere
2,151.291,Northern Hemisphere
-1,-83.8577,Southern Hemisphere
2,119.34,Northern Hemisphere
-2,-155.5741,Southern Hemisphere
2,46.8281,Northern Hemisphere
1,58.8322,Northern Hemisphere
2,171.2167,Northern Hemisphere
2,14.7431,Northern Hemisphere
-2,-170.6246,Southern Hemisphere
1,12.3513,Northern Hemisphere
-2,-9.0699,Southern Hemisphere
-1,-68.1596,Southern Hemisphere
-1,-59.4974,Southern Hemisphere
-1,-133.8761,Southern Hemisphere
1,109.3045,Northern Hemisphere
-2,-150.5222,Southern Hemisphere
1,4.6221,Northern Hemisphere
1,163.4447,Northern Hemisphere
2,128.7026,Northern Hemisphere
-2,-30.4971,Southern Hemisphere
-1,-40.9534,Southern Hemisphere
-2,-78.1321,Southern Hemisphere
-2,-102.892,Southern Hemisphere
1,116.5578,Northern Hemisphere
-2,-31.9804,Southern Hemisphere
-2,-114.8062,Southern Hemisphere
2,78.3877,Northern Hemisphere
1,165.5312,Northern Hemisphere
2,148.6322,Northern Hemisphere
1,44.1891,Northern Hemisphere
-2,-98.8556,Southern Hemisphere
2,120.2739,Northern Hemisphere
1,153.1715,Northern Hemisphere
-1,-116.1315,Southern Hemisphere
1,158.4576,Northern Hemisphere
1,92.9929,Northern Hemisphere
-1,-50.3866,Southern Hemisphere
2,43.2583,Northern Hemisphere
2,88.3478,Northern Hemisphere
-2,-140.1126,Southern Hemisphere
-1,-75.32,Southern Hemisphere
2,61.8763,Northern Hemisphere
1,81.6741,Northern Hemisphere
1,21.7181,Northern Hemisphere
-1,-46.2814,Southern Hemisphere
-1,-47.0512,Southern Hemisphere
1,175.7893,Northern Hemisphere
1,149.8731,Northern Hemisphere
1,32.2995,Northern Hemisphere
-2,-157.2151,Southern Hemisphere
-2,-80.3954,Southern Hemisphere
-1,-44.4974,Southern Hemisphere
-2,-76.6684,Southern Hemisphere
2,61.3271,Northern Hemisphere
-2,-24.8899,Southern Hemisphere
-2,-107.8727,Southern Hemisphere
-2,-56.4388,Southern Hemisphere
-1,-78.6889,Southern Hemisphere
1,44.6744,Northern Hemisphere
2,142.3333,Northern Hemisphere
-1,-111.532,Southern Hemisphere
2,105.9345,Northern Hemisphere
2,111.7849,Northern Hemisphere
-2,-142.5982,Southern Hemisphere
-1,-165.3863,Southern Hemisphere
-1,-166.4883,Southern Hemisphere
-2,-55.9132,Southern Hemisphere
2,41.6657,Northern Hemisphere
1,81.7256,Northern Hemisphere
-1,-38.191,Southern Hemisphere
-1,-81.9788,Southern Hemisphere
-1,-31.2064,Southern Hemisphere
-2,-37.3269,Southern Hemisphere
1,84.3656,Northern Hemisphere
1,169.6817,Northern Hemisphere
2,107.6466,Northern Hemisphere
2,108.6685,Northern Hemisphere
-2,-6.856,Southern Hemisphere
-2,-58.9893,Southern Hemisphere
1,137.3596,Northern Hemisphere
