latitude,longitude,classification
25.0968,49.5053,Northern Hemisphere
-49.8221,-58.1941,Southern Hemisphere
70.5923,75.9459,Northern Hemisphere
-84.6365,-89.036,Southern Hemisphere
-85.2235,-63.0208,Southern Hemisphere
8.0895,106.0678,Northern Hemisphere
55.6975,145.0475,Northern Hemisphere
35.6651,27.9863,Northern Hemisphere
82.2984,16.6943,Northern Hemisphere
-72.5911,-71.3293,Southern Hemisphere
55.2831,96.5211,Northern Hemisphere
85.1608,99.3673,Northern Hemisphere
59.2928,155.1072,Northern Hemisphere
13.9234,8.2484,Northern Hemisphere
-48.9783,-165.6374,Southern Hemisphere
-48.0976,-129.9648,Southern Hemisphere
24.4232,66.6326,Northern Hemisphere
-52.2887,-11.4022,Southern Hemisphere
26.6464,30.805,Northern Hemisphere
41.2428,68.302,Northern Hemisphere
88.1142,100.251,Northern Hemisphere
33.2306,139.68,Northern Hemisphere
-48.7713,-123.2185,Southern Hemisphere
-41.8066,-10.2763,Southern Hemisphere
67.7462,117.979,Northern Hemisphere
-18.7863,82.5933,Southern Hemisphere
-42.3216,-78.9537,Southern Hemisphere
-42.7065,-18.3919,Southern Hemisphere
-18.1079,-0.4432,Southern Hemisphere
1.7147,8.4809,Northern Hemisphere
-70.2632,-37.4257,Southern Hemisphere
-14.0112,-111.3085,Southern Hemisphere
89.3018,174.7941,Northern Hemisphere
64.9403,129.7299,Northern Hemisphere
32.7079,48.0285,Northern Hemisphere
25.3731,78.2577,Northern Hemisphere
-8.3297,157.6535,Southern Hemisphere
-42.59,-147.8427,Southern Hemisphere
74.273,-126.2799,Northern Hemisphere
25.0109,27.5111,Northern Hemisphere
47.2519,140.1528,Northern Hemisphere
5.4637,58.3481,Northern Hemisphere
-86.4942,158.1699,Southern Hemisphere
59.6998,10.4265,Northern Hemisphere
68.0417,-164.5824,Northern Hemisphere
-2.5217,-43.0916,Southern Hemisphere
47.8502,85.5508,Northern Hemisphere
8.9646,157.0379,Northern Hemisphere
-13.8352,-82.9267,Southern Hemisphere
41.3876,56.1089,Northern Hemisphere
89.1269,78.858,Northern Hemisphere
3.1637,40.4455,Northern Hemisphere
-29.1446,-138.5793,Southern Hemisphere
-50.3609,-66.4015,Southern Hemisphere
-48.7905,154.7344,Southern Hemisphere
-77.2457,-59.584,Southern Hemisphere
-51.4374,-11.6074,Southern Hemisphere
12.7878,141.2315,Northern Hemisphere
55.3495,17.4475,Northern Hemisphere
-12.4108,-95.9356,Southern Hemisphere
41.2337,177.1497,Northern Hemisphere
-72.2848,-118.9255,Southern Hemisphere
65.1011,34.2376,Northern Hemisphere
-9.2496,-129.8619,Southern Hemisphere
-45.0348,79.7635,Southern Hemisphere
65.0428,9.1059,Northern Hemisphere
89.8708,174.4193,Northern Hemisphere
76.7461,29.936,Northern Hemisphere
-2.5846,-107.8127,Southern Hemisphere
-79.4456,-2.6444,Southern Hemisphere
-42.2634,-98.0985,Southern Hemisphere
-13.8587,179.1761,Southern Hemisphere
10.0383,27.8634,Northern Hemisphere
-36.5926,104.2525,Southern Hemisphere
7.5951,10.2897,Northern Hemisphere
15.152,153.4896,Northern Hemisphere
-61.6621,14.4201,Southern Hemisphere
-56.5515,-58.4617,Southern Hemisphere
-47.6633,-19.7483,Southern Hemisphere
-45.6812,-68.5113,Southern Hemisphere
-14.5395,-85.8991,Southern Hemisphere
78.2471,128.9145,Northern Hemisphere
-47.0365,-59.0958,Southern Hemisphere
-36.0005,-44.6644,Southern Hemisphere
-76.9422,-0.2782,Southern Hemisphere
89.2974,38.3678,Northern Hemisphere
-42.2639,158.5556,Southern Hemisphere
68.2686,28.3944,Northern Hemisphere
60.0741,110.102,Northern Hemisphere
87.702,1.4082,Northern Hemisphere
57.0787,119.41,Northern Hemisphere
79.0074,20.7772,Northern Hemisphere
-70.7335,-130.9773,Southern Hemisphere
18.8694,36.6475,Northern Hemisphere
24.1628,87.9357,Northern Hemisphere
72.9606,16.6137,Northern Hemisphere
-13.7564,-179.3618,Southern Hemisphere
48.8015,47.1519,Northern Hemisphere
43.4216,76.9836,Northern Hemisphere
-88.2595,-21.0408,Southern Hemisphere
72.7071,150.2271,Northern Hemisphere
14.8517,22.9402,Northern Hemisphere
-34.5135,143.302,Southern Hemisphere
64.9265,-142.1862,Northern Hemisphere
-45.0846,-39.5791,Southern Hemisphere
69.1442,111.7191,Northern Hemisphere
-62.1804,155.629,Southern Hemisphere
85.7171,158.6549,Northern Hemisphere
-85.5385,-120.2066,Southern Hemisphere
77.5469,155.5315,Northern Hemisphere
55.9349,141.7274,Northern Hemisphere
-70.5428,154.5468,Southern Hemisphere
-49.9619,-97.1454,Southern Hemisphere
-35.0656,-139.0328,Southern Hemisphere
-85.7404,-120.9128,Southern Hemisphere
65.5835,-129.7575,Northern Hemisphere
25.4667,176.6069,Northern Hemisphere
6.5188,-159.2385,Northern Hemisphere
84.6721,173.2562,Northern Hemisphere
-42.2161,-101.7785,Southern Hemisphere
41.1381,109.1176,Northern Hemisphere
2.0562,103.7858,Northern Hemisphere
-44.1499,-179.6956,Southern Hemisphere
76.6035,129.4974,Northern Hemisphere
43.551,65.5599,Northern Hemisphere
-77.4047,-120.564,Southern Hemisphere
-33.4952,-50.4442,Southern Hemisphere
-35.942,-106.4893,Southern Hemisphere
-17.5679,-157.0882,Southern Hemisphere
-14.3197,121.9172,Southern Hemisphere
72.505,54.171,Northern Hemisphere
8.6287,51.6445,Northern Hemisphere
-12.6201,-62.153,Southern Hemisphere
-6.3021,-141.5337,Southern Hemisphere
-4.8265,143.2845,Southern Hemisphere
-59.4555,-87.2186,Southern Hemisphere
23.9294,147.3162,Northern Hemisphere
45.2049,40.4353,Northern Hemisphere
-54.1566,-135.9283,Southern Hemisphere
-4.4755,-166.8909,Southern Hemisphere
-15.4006,-145.0017,Southern Hemisphere
35.3438,43.9172,Northern Hemisphere
28.0904,135.1736,Northern Hemisphere
48.6083,76.5263,Northern Hemisphere
-58.3404,93.2324,Southern Hemisphere
-80.9607,-27.2995,Southern Hemisphere
-7.8369,-59.836,Southern Hemisphere
87.8206,171.0071,Northern Hemisphere
70.4567,129.4693,Northern Hemisphere
0.8601,98.617,Northern Hemisphere
71.4975,85.4414,Northern Hemisphere
-43.3455,-65.2209,Southern Hemisphere
47.8465,112.8147,Northern Hemisphere
-40.5725,-128.5689,Southern Hemisphere
-41.0913,-82.7726,Southern Hemisphere
-65.0927,-55.089,Southern Hemisphere
37.1554,73.3679,Northern Hemisphere
7.67,37.2302,Northern Hemisphere
-14.3742,105.1343,Southern Hemisphere
35.1941,-42.193,Northern Hemisphere
-21.5314,-116.6834,Southern Hemisphere
45.6255,-8.3825,Northern Hemisphere
-14.5762,-81.6962,Southern Hemisphere
18.5855,39.4959,Northern Hemisphere
-11.5495,-119.4967,Southern Hemisphere
32.2455,29.7081,Northern Hemisphere
-5.8698,-67.9937,Southern Hemisphere
-85.146,-78.4094,Southern Hemisphere
-85.1216,-155.5741,Southern Hemisphere
-6.8943,-111.7613,Southern Hemisphere
-51.9011,-42.9787,Southern Hemisphere
-21.7573,-30.2536,Southern Hemisphere
-44.5911,-176.511,Southern Hemisphere
7.0954,-117.0071,Northern Hemisphere
27.0259,117.3158,Northern Hemisphere
45.762,-144.1151,Northern Hemisphere
-86.3316,-157.2802,Southern Hemisphere
30.5026,39.2336,Northern Hemisphere
35.9037,30.202,Northern Hemisphere
19.3045,20.6159,Northern Hemisphere
57.4742,-160.5422,Northern Hemisphere
-85.3779,-58.0775,Southern Hemisphere
82.4711,128.7026,Northern Hemisphere
-76.3206,-67.0964,Southern Hemisphere
-71.6578,-26.9472,Southern Hemisphere
18.0741,177.092,Northern Hemisphere
50.8744,77.108,Northern Hemisphere
-23.2972,-118.5784,Southern Hemisphere
62.9236,18.997,Northern Hemisphere
82.9418,149.1673,Northern Hemisphere
37.3156,132.0832,Northern Hemisphere
83.7853,145.4759,Northern Hemisphere
6.8711,78.4034,Northern Hemisphere
41.5847,153.3084,Northern Hemisphere
59.5316,158.6936,Northern Hemisphere
-46.1046,-70.1403,Southern Hemisphere
-21.7819,-26.8285,Southern Hemisphere
-57.2688,-36.3902,Southern Hemisphere
-28.739,126.2131,Southern Hemisphere
-40.2717,-9.3487,Southern Hemisphere
-74.5897,-92.056,Southern Hemisphere
46.4696,116.2625,Northern Hemisphere
-1.6522,-163.2504,Southern Hemisphere
-50.1126,-124.8829,Southern Hemisphere
14.68,95.5659,Northern Hemisphere
-13.4093,-120.4576,Southern Hemisphere
36.5139,45.2527,Northern Hemisphere
-68.2819,-158.4801,Southern Hemisphere
6.4555,33.327,Northern Hemisphere
-51.0508,-49.5747,Southern Hemisphere
85.7893,50.9398,Northern Hemisphere
-71.9053,-139.053,Southern Hemisphere
-57.7005,-83.8557,Southern Hemisphere
-40.624,99.6046,Southern Hemisphere
35.5351,156.323,Northern Hemisphere
-1.6418,103.3316,Southern Hemisphere
-5.5085,-146.8145,Southern Hemisphere
-80.7522,85.9913,Southern Hemisphere
57.9808,13.3348,Northern Hemisphere
23.3002,26.8556,Northern Hemisphere
11.3111,178.9053,Northern Hemisphere
-68.6787,-70.8628,Southern Hemisphere
52.3333,94.0631,Northern Hemisphere
-8.9074,-25.17,Southern Hemisphere
88.2056,111.7849,Northern Hemisphere
19.7336,170.5662,Northern Hemisphere
-52.5982,-61.1229,Southern Hemisphere
-61.7297,-166.4883,Southern Hemisphere
-89.5184,-73.114,Southern Hemisphere
-37.5733,-52.748,Southern Hemisphere
36.5378,123.7293,Northern Hemisphere
76.304,112.5104,Northern Hemisphere
29.0129,-103.475,Northern Hemisphere
8.0212,163.5141,Northern Hemisphere
58.7936,29.8661,Northern Hemisphere
-34.6299,-77.5427,Southern Hemisphere
-38.0501,-56.038,Southern Hemisphere
35.9521,-89.915,Northern Hemisphere
-1.1169,-172.8251,Southern Hemisphere
-12.2348,-134.9338,Southern Hemisphere
-73.5612,150.4726,Southern Hemisphere
13.5358,-0.077,Northern Hemisphere
31.0107,7.2417,Northern Hemisphere
46.1284,117.2717,Northern Hemisphere
74.8931,105.3593,Northern Hemisphere
24.2612,16.4236,Northern Hemisphere
-27.367,-59.376,Southern Hemisphere
64.392,124.8613,Northern Hemisphere
-38.1208,146.4419,Southern Hemisphere
9.0174,56.6131,Northern Hemisphere
